relative_path,source_path,code_category,file_type,status,notes
code/static_baselines_24train6test/00_create_24train6test_dataset.py,revision_validation_24train6test/00_create_24train6test_dataset.py,static_baseline,py,copied,Code used to build the canonical 24-train/6-test split and static baseline evidence.
code/static_baselines_24train6test/01_static_endpoint_baselines_24train6test.py,revision_validation_24train6test/01_static_endpoint_baselines_24train6test.py,static_baseline,py,copied,Code used to build the canonical 24-train/6-test split and static baseline evidence.
code/static_baselines_24train6test/02_curve_proxy_baselines_24train6test.py,revision_validation_24train6test/02_curve_proxy_baselines_24train6test.py,static_baseline,py,copied,Code used to build the canonical 24-train/6-test split and static baseline evidence.
code/static_baselines_24train6test/revision_24train6test_config.json,revision_validation_24train6test/config/revision_24train6test_config.json,static_baseline,json,copied,Code used to build the canonical 24-train/6-test split and static baseline evidence.
code/dkcsr_baseline_comparison/00_audit_dkcsr_24train6test_provenance.py,revision_validation_24train6test_dkcsr/00_audit_dkcsr_24train6test_provenance.py,dkcsr_comparison,py,copied,Code used to add DKC-SR to unified same-split baseline comparison tables and plots.
code/dkcsr_baseline_comparison/01_add_dkcsr_to_endpoint_table.py,revision_validation_24train6test_dkcsr/01_add_dkcsr_to_endpoint_table.py,dkcsr_comparison,py,copied,Code used to add DKC-SR to unified same-split baseline comparison tables and plots.
code/dkcsr_baseline_comparison/02_add_dkcsr_to_curve_table.py,revision_validation_24train6test_dkcsr/02_add_dkcsr_to_curve_table.py,dkcsr_comparison,py,copied,Code used to add DKC-SR to unified same-split baseline comparison tables and plots.
code/dkcsr_baseline_comparison/_dkcsr_common.py,revision_validation_24train6test_dkcsr/_dkcsr_common.py,dkcsr_comparison,py,copied,Code used to add DKC-SR to unified same-split baseline comparison tables and plots.
code/vanilla_odesr_baseline/00_prepare_vanilla_odesr_config.py,revision_validation_vanilla_odesr_24train6test/00_prepare_vanilla_odesr_config.py,vanilla_odesr,py,copied,"Code used to configure, run, evaluate, and summarize vanilla ODE-SR baselines."
code/vanilla_odesr_baseline/01_run_vanilla_odesr_multiseed.py,revision_validation_vanilla_odesr_24train6test/01_run_vanilla_odesr_multiseed.py,vanilla_odesr,py,copied,"Code used to configure, run, evaluate, and summarize vanilla ODE-SR baselines."
code/vanilla_odesr_baseline/02_evaluate_vanilla_odesr_candidates.py,revision_validation_vanilla_odesr_24train6test/02_evaluate_vanilla_odesr_candidates.py,vanilla_odesr,py,copied,"Code used to configure, run, evaluate, and summarize vanilla ODE-SR baselines."
code/vanilla_odesr_baseline/03_structural_validity_audit_vanilla_odesr.py,revision_validation_vanilla_odesr_24train6test/03_structural_validity_audit_vanilla_odesr.py,vanilla_odesr,py,copied,"Code used to configure, run, evaluate, and summarize vanilla ODE-SR baselines."
code/vanilla_odesr_baseline/04_physical_optimisation_audit_vanilla_vs_dkcsr.py,revision_validation_vanilla_odesr_24train6test/04_physical_optimisation_audit_vanilla_vs_dkcsr.py,vanilla_odesr,py,copied,"Code used to configure, run, evaluate, and summarize vanilla ODE-SR baselines."
code/vanilla_odesr_baseline/05_make_vanilla_odesr_summary.py,revision_validation_vanilla_odesr_24train6test/05_make_vanilla_odesr_summary.py,vanilla_odesr,py,copied,"Code used to configure, run, evaluate, and summarize vanilla ODE-SR baselines."
code/vanilla_odesr_baseline/_vanilla_common.py,revision_validation_vanilla_odesr_24train6test/_vanilla_common.py,vanilla_odesr,py,copied,"Code used to configure, run, evaluate, and summarize vanilla ODE-SR baselines."
code/vanilla_odesr_baseline/vanilla_odesr_config.json,revision_validation_vanilla_odesr_24train6test/config/vanilla_odesr_config.json,vanilla_odesr,json,copied,"Code used to configure, run, evaluate, and summarize vanilla ODE-SR baselines."
code/bootstrap_b2_only/00_reconstruct_final_equation.py,revision_validation_bootstrap_correction_24train6test/00_reconstruct_final_equation.py,bootstrap_b2_only,py,copied,Corrected fixed-structure bootstrap and fixed-parameter uncertainty code with numerator coefficient a=2 fixed.
code/bootstrap_b2_only/01_full_train_b2_refit_sanity_check.py,revision_validation_bootstrap_correction_24train6test/01_full_train_b2_refit_sanity_check.py,bootstrap_b2_only,py,copied,Corrected fixed-structure bootstrap and fixed-parameter uncertainty code with numerator coefficient a=2 fixed.
code/bootstrap_b2_only/02_corrected_fixed_structure_bootstrap.py,revision_validation_bootstrap_correction_24train6test/02_corrected_fixed_structure_bootstrap.py,bootstrap_b2_only,py,copied,Corrected fixed-structure bootstrap and fixed-parameter uncertainty code with numerator coefficient a=2 fixed.
code/bootstrap_b2_only/03_fixed_parameter_uncertainty_if_needed.py,revision_validation_bootstrap_correction_24train6test/03_fixed_parameter_uncertainty_if_needed.py,bootstrap_b2_only,py,copied,Corrected fixed-structure bootstrap and fixed-parameter uncertainty code with numerator coefficient a=2 fixed.
code/bootstrap_b2_only/04_make_bootstrap_correction_summary.py,revision_validation_bootstrap_correction_24train6test/04_make_bootstrap_correction_summary.py,bootstrap_b2_only,py,copied,Corrected fixed-structure bootstrap and fixed-parameter uncertainty code with numerator coefficient a=2 fixed.
