source,id,pmid,doi,title,abstract,year,journal,authors,url,query_used,priority,likely_franz,likely_study_type,likely_has_numeric_endpoint,likely_has_formulation_info,likely_barrier_category,what_to_check_in_fulltext,exclude_reason_if_low,confidence,queue,mentions_franz_in_abstract,likely_has_measurable_endpoint,rationale
MED,39859737,39859737.0,10.3390/ma18020266,Stability and Rheological Properties of the Novel Silica-Based Organogel-A Drug Carrier with High Solubilization Potential.,"Dissolution of a poorly soluble active pharmacological substance in a drug carrier usually requires advanced techniques and production equipment. The use of novel carriers such as microemulsions, vesicles, or nanocarriers might entail various limitations concerning production cost, formulation stability, or active substance capacity. In this paper, we present a novel fumed silica-based organogel as a low-cost, simple preparation drug or cosmetic carrier with interesting rheological properties and high solubilization capacity. The objective of the study was to characterize the utility aspects of the new dermatological base with special emphasis on stability, rheology, and release studies. Various formulations of a silica organogel base with poorly soluble active pharmacological substances such as propolis or ibuprofen were prepared and tested. The studies of thermal stress, enforced syneresis, and long-term stability were performed along with analyses of rheological profiles of alkali-dependent sol-gel transformation and organogel release. The new drug vehicle shows high thermodynamic stability, thixotropic rheology and first-order release profile. Such properties are promising for commercial utility as a dermatologically applied base for poorly soluble substances.",2025,,"Suwiński G, Nowak I.",https://www.mdpi.com/1996-1944/18/2/266/pdf?version=1736421780,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,IVRT,,yes,uncertain,"['Details on ibuprofen release kinetics', 'Formulation specifics of the organogel', 'Comparison of permeation rates', 'Data on solubilization capacity']",,0.9,now,yes,yes,"The abstract indicates the use of ibuprofen in a formulation study, focusing on release properties. It mentions specific release studies, making it relevant to permeation analysis."
MED,36005677,36005677.0,10.3390/membranes12080762,In Situ Generation of Fouling Resistant Ag/Pd Modified PES Membranes for Treatment of Pharmaceutical Wastewater.,"In this study, Ag and Pd bimetallic nanoparticles were generated in situ in polyethersulfone (PES) dope solutions, and membranes were fabricated through a phase inversion method. The membranes were characterized for various physical and chemical properties using techniques such as FTIR, SEM, AFM, TEM, EDS, and contact angle measurements. The membranes were then evaluated for their efficiency in rejecting EOCs and resistance to protein fouling. TEM micrographs showed uniform distribution of Ag/Pd nanoparticles within the PES matrix, while SEM images showed uniform, fingerlike structures that were not affected by the presence of embedded nanoparticles. The presence of Ag/Pd nanoparticles resulted in rougher membranes. There was an increase in membrane hydrophilicity with increasing nanoparticles loading, which resulted in improved pure water permeability (37−135 Lm2h−1bar−1). The membranes exhibited poor salt rejection (<15%), making them less susceptible to flux decline due to concentration polarization. With a mean pore radius of 2.39−4.70 nm, the membranes effectively removed carbamazepine, caffeine, sulfamethoxazole, ibuprofen, and naproxen (up to 40%), with size exclusion being the major removal mechanism. Modifying the membranes with Ag/Pd nanoparticles improved their antifouling properties, making them a promising innovation for the treatment of pharmaceutical wastewater.",2022,,"Patala R, Mahlangu OT, Nyoni H, Mamba BB, Kuvarega AT.",https://doi.org/10.3390/membranes12080762,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,uncertain,,yes,synthetic_membrane,"['Measurable endpoints for ibuprofen removal', 'Details on formulation of PES membranes', 'Specific efficiency metrics for ibuprofen', 'Methods of evaluating antifouling properties']",,0.8,now,no,yes,"The study evaluates membranes for ibuprofen removal and mentions formulation details, making it relevant for the dataset."
MED,32486123,32486123.0,10.3390/mi11060554,Novel Design Approaches in the Fabrication of Polymeric Microarray Patches via Micromoulding.,"The focus on novel systems for transdermal delivery of therapeutic agents has increased considerably over recent years, as this administration route comes with many advantages. Polymeric microarray patches (MAPs) are minimally invasive devices that enable systemic delivery of a wide range of drugs by overcoming the outer skin barrier. Conventionally, MAPs fabricated by micromoulding have a low needle density. In this study, the performance of hydrogel-forming MAPs cast using novel industrially manufactured micromoulds with a high needle density (600 needles/0.75 cm<sup>2</sup>) was compared to that of MAPs obtained using conventional moulds with a lower density (196 needles/0.89 cm<sup>2</sup>). Surrounding holders for micromoulds were designed for time-efficient fabrication of MAPs. The influence of needle densities on mechanical strength, insertion efficiency and in vitro permeation of ibuprofen sodium (IBU) was analysed. Insertion of both MAPs into an artificial skin model and neonatal porcine skin was comparable. No significant difference was observed in permeation studies of IBU (<i>p</i> > 0.05), with a delivery of 8.7 ± 1.7 mg for low-density and 9.5 ± 0.1 mg for high-density MAPs within 24 h. This highlights the potential of these novel micromoulds for manufacturing polymeric MAPs with a higher needle density for future applications.",2020,,"Ramöller IK, McAlister E, Bogan A, Cordeiro AS, Donnelly RF.",https://doi.org/10.3390/mi11060554,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,IVRT,,no,skin,"['Details on ibuprofen formulation', 'Specifics on skin model used', 'Any additional data on permeation rates']",,0.9,now,yes,yes,"The study evaluates the permeation of ibuprofen using a novel transdermal delivery system, indicating it is relevant to ibuprofen permeation research."
MED,26457698,26457698.0,10.3390/molecules201018219,Potential of Essential Oils as Penetration Enhancers for Transdermal Administration of Ibuprofen to Treat Dysmenorrhoea.,"The present study was conducted to evaluate and compare five essential oils (EOs) as penetration enhancers (PEs) to improve the transdermal drug delivery (TDD) of ibuprofen to treat dysmenorrhoea. The EOs were prepared using the steam distillation method and their chemical compositions were identified by GC-MS. The corresponding cytotoxicities were evaluated in epidermal keartinocyte HaCaT cell lines by an MTT assay. Furthermore, the percutaneous permeation studies were carried out to compare the permeation enhancement effect of EOs. Then the therapeutic efficacy of ibuprofen with EOs was evaluated using dysmenorrheal model mice. The data supports a decreasing trend of skin cell viability in which Clove oil >Angelica oil > Chuanxiong oil > Cyperus oil > Cinnamon oil >> Azone. Chuanxiong oil and Angelica oil had been proved to possess a significant permeation enhancement for TDD of ibuprofen. More importantly, the pain inhibitory intensity of ibuprofen hydrogel was demonstrated to be greater with Chuanxiong oil when compared to ibuprofen without EOs (p < 0.05). The contents of calcium ion and nitric oxide (NO) were also significantly changed after the addition of Chuanxiong oil (p < 0.05). In summary, we suggest that Chuanxiong oil should be viewed as the best PE for TDD of ibuprofen to treat dysmenorrhea.",2015,,"Chen J, Jiang QD, Wu YM, Liu P, Yao JH, Lu Q, Zhang H, Duan JA.",https://www.mdpi.com/1420-3049/20/10/18219/pdf?version=1444202244,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,IVPT,,yes,skin,"['Details on the concentrations of essential oils used', 'Specifics on the diffusion cell setup', 'Quantitative permeation data of ibuprofen', 'Comparison of permeation rates with and without essential oils']",,0.9,now,no,yes,"The study focuses on the transdermal delivery of ibuprofen, with an evaluation of permeation enhancement using diffusion cells for a specific barrier (skin). It also provides measurable endpoints related to drug delivery efficacy."
MED,33808785,33808785.0,10.3390/molecules26061723,The Impacts of Crystalline Structure and Different Surface Functional Groups on Drug Release and the Osseointegration Process of Nanostructured TiO<sub>2</sub>.,"In implantable materials, surface topography and chemistry are the most important in the effective osseointegration and interaction with drug molecules. Therefore, structural and surface modifications of nanostructured titanium dioxide (TiO<sub>2</sub>) layers are reported in the present work. In particular, the modification of annealed TiO<sub>2</sub> samples with -OH groups and silane derivatives, confirmed by X-ray photoelectron spectroscopy, is shown. Moreover, the ibuprofen release process was studied regarding the desorption-desorption-diffusion (DDD) kinetic model. The results proved that the most significant impact on the release profile is annealing, and further surface modifications did not change its kinetics. Additionally, the cell adhesion and proliferation were examined based on the MTS test and immunofluorescent staining. The obtained data showed that the proposed changes in the surface chemistry enhance the samples' hydrophilicity. Moreover, improvements in the adhesion and proliferation of the MG-63 cells were observed.",2021,,"Pawlik A, Jarosz M, Socha RP, Sulka GD.",https://www.mdpi.com/1420-3049/26/6/1723/pdf?version=1616209130,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,IVRT,,yes,uncertain,"['Details on the diffusion cell setup', 'Specifics of ibuprofen formulation', 'Quantitative release data', 'Full description of DDD kinetic model results']",,0.9,now,yes,yes,The abstract directly addresses ibuprofen release and involves in vitro studies that align with the required parameters for PermeationNet. The mention of a kinetic model suggests measurable endpoints.
MED,34443357,34443357.0,10.3390/molecules26164772,Supercritical CO<sub>2</sub> Assisted Impregnation of Ibuprofen on Medium-Chain-Length Polyhydroxyalkanoates (mcl-PHA).,"In this work, we propose the utilization of scCO<sub>2</sub> to impregnate ibuprofen into the mcl-PHA matrix produced by <i>Pseudomonas chlororaphis</i> subs. <i>aurantiaca</i> (DSM 19603). The biopolymer has adhesive properties, is biocompatible and has a melting temperature of 45 °C. Several conditions, namely, pressure (15 and 20 MPa) and impregnation time (30 min, 1 h and 3 h) were tested. The highest ibuprofen content (90.8 ± 6.5 mg of ibuprofen/g<sub>PHA</sub>) was obtained at 20 MPa and 40 °C, for 1 h, with an impregnation rate of 89 mg/(g·h). The processed mcl-PHA samples suffered a plasticization, as shown by the decrease of 6.5 °C in the T<sub>g</sub>, at 20 MPa. The polymer's crystallinity was also affected concomitantly with the matrices' ibuprofen content. For all the impregnation conditions tested the release of ibuprofen from the biopolymer followed a type II release profile. This study has demonstrated that the mcl-PHA produced by <i>P. chlororaphis</i> has a great potential for the development of novel topical drug delivery systems.",2021,,"Meneses L, Craveiro R, Jesus AR, Reis MAM, Freitas F, Paiva A.",https://www.mdpi.com/1420-3049/26/16/4772/pdf?version=1628558152,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,uncertain,,yes,uncertain,"['Details on ibuprofen release profile', 'Specifics on in vitro studies', 'Evaluation of permeation methods used']",,0.75,later,yes,yes,"The study focuses on the impregnation of ibuprofen into a polymer matrix, which suggests potential for drug release but lacks direct evidence of in vitro permeation. Further examination is needed to determine its relevance."
MED,34885770,34885770.0,10.3390/molecules26237188,<i>Epilobium angustifolium</i> L. Essential Oil-Biological Activity and Enhancement of the Skin Penetration of Drugs-In Vitro Study.,"<i>Epilobium angustifolium</i> L. is a popular medicinal plant found in many regions of the world. This plant contains small amounts of essential oil whose composition and properties have not been extensively investigated. There are few reports in the literature on the antioxidant and antifungal properties of this essential oil and the possibility of applying it as a potential promoter of the skin penetration of drugs. The essential oil was obtained by distillation using a Clavenger type apparatus. The chemical composition was analyzed by the GC-MS method. The major active compounds of <i>E. angustifolium</i> L. essential oil (EOEa) were terpenes, including α-caryophyllene oxide, eucalyptol, β-linalool, camphor, (S)-carvone, and β-caryophyllene. The analyzed essential oil was also characterized by antioxidant activity amounting to 78% RSA (Radical Scavenging Activity). Antifungal activity against the strains <i>Aspergillus niger</i>, <i>A. ochraceus</i>, <i>A. parasiticum</i>, and <i>Penicillium cyclopium</i> was also determined. The largest inhibition zone was observed for strains from the <i>Aspergillus</i> group. The EOEa enhanced the percutaneous penetration of ibuprofen and lidocaine. After a 24 h test, the content of terpene in the skin and the acceptor fluid was examined. It has been shown that the main compounds contained in the essential oil do not penetrate through the skin, but accumulate in it. Additionally, FTIR-ATR analysis showed a disturbance of the <i>stratum corneum</i> (SC) lipids caused by the essential oil application. Due to its rich composition and high biological activity, EOEa may be a potential candidate to be applied, for example, in the pharmaceutical or cosmetic industries. Moreover, due to the reaction of the essential oil components with SC lipids, the EOEa could be an effective permeation enhancer of topically applied hydrophilic and lipophilic drugs.",2021,,"Nowak A, Duchnik W, Makuch E, Kucharski Ł, Ossowicz-Rupniewska P, Cybulska K, Sulikowski T, Moritz M, Klimowicz A.",https://www.mdpi.com/1420-3049/26/23/7188/pdf?version=1638233900,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,IVRT,,no,skin,"['Specifics on ibuprofen permeability results', 'Details on the experimental setup', 'Quantitative data on penetration enhancement', 'Formulation details for drug application', 'Results comparing EOEa with other enhancers']",,0.9,now,yes,yes,"The study investigates the enhancement of skin penetration for ibuprofen using a recognized in vitro model, indicating relevance for permeation research."
MED,38005244,38005244.0,10.3390/molecules28227523,Exploring Alkyl Ester Salts of L-Amino Acid Derivatives of Ibuprofen: Physicochemical Characterization and Transdermal Potential.,"This research presents novel ibuprofen derivatives in the form of alkyl ester salts of L-amino acids with potential analgesic, anti-inflammatory, and antipyretic properties for potential use in transdermal therapeutic systems. New derivatives of (<i>RS</i>)-2-[4-(2-methylpropyl)phenyl]propionic acid were synthesized using hydrochlorides of alkyl esters (ethyl, propyl, isopropyl, butyl, <i>sec</i>-butyl, <i>tert</i>-butyl, and pentyl) of L-glutamine. These were further transformed into alkyl esters of L-amino acid ibuprofenates through neutralization and protonation reactions. Characterization involved spectroscopic methods, including nuclear magnetic resonance and Fourier-transform infrared spectroscopy. Various physicochemical properties were investigated, such as UV-Vis spectroscopy, polarimetric analysis, thermogravimetric analysis, differential scanning calorimetry, X-ray diffraction, water solubility, octanol/water partition coefficient, and permeability through pig skin using Franz diffusion cells. The research confirmed the ionic structure of the obtained hydrochlorides of alkyl esters of L-amino acids and ibuprofenates of alkyl esters of L-glutamic acid. It revealed significant correlations between ester chain length and thermal stability, crystallinity, phase transition temperatures, lipophilicity, water solubility, skin permeability, and skin accumulation of these compounds. Compared to the parent ibuprofen, the synthesized derivatives exhibited higher water solubility, lower lipophilicity, and enhanced skin permeability. This study introduces promising ibuprofen derivatives with improved physicochemical properties, highlighting their potential for transdermal therapeutic applications. The findings shed light on the structure-activity relationships of these derivatives, offering insights into their enhanced solubility and skin permeation, which could lead to more effective topical treatments for pain and inflammation.",2023,,"Witkowski K, Nowak A, Duchnik W, Kucharski Ł, Struk Ł, Ossowicz-Rupniewska P.",https://www.mdpi.com/1420-3049/28/22/7523/pdf?version=1699609378,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,IVRT,,yes,skin,"['Detailed permeability data through Franz diffusion cells', 'Specific formulation details of the ibuprofen derivatives', 'Comparative analysis of skin permeability versus parent ibuprofen']",,0.9,now,yes,yes,"The study focuses on ibuprofen derivatives tested using Franz diffusion cells, indicating relevance for permeation research. The characterization and findings suggest measurable endpoints related to skin permeability and formulation specifics."
MED,39942656,39942656.0,10.3390/molecules30030552,The Role of the Functionalization of Biomedical Fabrics on Their Ability to Adsorb and Release Drugs.,"Biomedical cotton gauzes (<b>C0</b>), after a first functionalization with glycidyl methacrylate (GMA) by a Fenton's reaction (material <b>C1</b>), can be further modified in order to make them suitable for the adsorption and next release of drugs. Indeed, either after opening the epoxide ring through the addition of water (material <b>C2</b>) or after the introduction of amino groups through reaction with diamines (1,2-diaminoethane (material <b>C3</b>), 1,6-diaminohexane (material <b>C4</b>) and 1,12-diaminododecane (material <b>C5</b>)), the new gauzes can be uploaded with drugs. Both ibuprofen (IB), a non-steroidal anti-inflammatory, and amoxicillin (AM), a wide-spectrum β-lactam antibiotic, are efficiently adsorbed from their aqueous solutions at 20 °C onto <b>C2</b>-<b>C5</b> (up to ≈0.8 mmol g<sup>-1</sup> for IB and up to 0.4 mmol g<sup>-1</sup> for AM) but not onto <b>C0</b> and <b>C1</b>. The release of both IB and AM is affected by the ionic strength of the medium in which the release takes place. Indeed, kinetic experiments conducted with a physiological solution (NaCl (aq, 0.9% <i>w</i>/<i>v</i>) showed good release efficiencies while only modest or negligible release was observed if deionised water was the release medium. Moreover, the kind of functionalization plays an important role during both the adsorption and the release. The gauzes <b>C3</b>-<b>C5</b> can be uploaded with a higher amount of drug relative to <b>C2</b>. Conversely, the drug is released quickly and in a higher amount from <b>C2</b> relative to the gauzes containing the amino groups.",2025,,Melone L.,https://doi.org/10.3390/molecules30030552,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,both,,yes,uncertain,"['Detailed drug release data for ibuprofen', 'Characterization of functionalized fabrics', 'Mechanisms of drug adsorption and release', 'Comparative analysis of different formulations']",,0.9,now,no,yes,"This study involves the adsorption and release of ibuprofen from modified biomedical fabrics, which aligns with in vitro permeation concepts. The inclusion of formulation information and measurable endpoints supports its relevance."
MED,33138290,33138290.0,10.3390/nano10112165,Embedding Ordered Mesoporous Carbons into Thermosensitive Hydrogels: A Cutting-Edge Strategy to Vehiculate a Cargo and Control Its Release Profile.,"The high drug loading capacity, cytocompatibility and easy functionalization of ordered mesoporous carbons (OMCs) make them attractive nanocarriers to treat several pathologies. OMCs' efficiency could be further increased by embedding them into a hydrogel phase for an <i>in loco</i> prolonged drug release. In this work, OMCs were embedded into injectable thermosensitive hydrogels. In detail, rod-like (diameter ca. 250 nm, length ca. 700 nm) and spherical (diameter approximately 120 nm) OMCs were synthesized by nanocasting selected templates and loaded with ibuprofen through a melt infiltration method to achieve complete filling of their pores (100% loading yield). In parallel, an amphiphilic Poloxamer® 407-based poly(ether urethane) was synthesized (Mn¯ 72 kDa) and solubilized at 15 and 20% <i>w/v</i> concentration in saline solution to design thermosensitive hydrogels. OMC incorporation into the hydrogels (10 mg/mL concentration) did not negatively affect their gelation potential. Hybrid systems successfully released ibuprofen at a slower rate compared to control gels (gels embedding ibuprofen as such), but with no significant differences between rod-like and spherical OMC-loaded gels. OMCs can thus work as effective drug reservoirs that progressively release their payload over time and also upon encapsulation in a hydrogel phase, thus opening the way to their application to treat many different pathological states (e.g., as topical medications).",2020,,"Boffito M, Laurano R, Giasafaki D, Steriotis T, Papadopoulos A, Tonda-Turo C, Cassino C, Charalambopoulou G, Ciardelli G.",https://doi.org/10.3390/nano10112165,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",,,uncertain,,yes,uncertain,"['Specifics on the permeability of ibuprofen through the designed systems', 'Detailed formulation of the thermosensitive hydrogels', 'Quantitative release profiles of ibuprofen', 'Comparative data between the OMC-loaded gels and control gels']",,0.8,now,no,yes,"The study focuses on the release profile and formulation of ibuprofen using a novel dual carrier system, making it relevant for in vitro permeation research."
